sample_id,time_ms,temp_t,humidity_t,temp_t_plus_1
1,2005,44.8,62.5,44.8
2,4012,44.8,62.5,44.8
3,6019,44.8,62.5,44.7
4,8027,44.7,62.5,42.1
5,10033,42.1,62.5,36.1
6,12041,36.1,62.5,30.1
7,14047,30.1,62.5,24.7
8,16055,24.7,62.5,24.6
9,18062,24.6,62.5,24.6
10,20069,24.6,47.5,24.6
11,22076,24.6,47.5,24.6
12,24083,24.6,47.5,24.6
13,26090,24.6,47.5,24.3
14,28097,24.3,47.5,24.2
15,30104,24.2,47.5,24.0
16,32111,24.0,47.5,24.0
17,34118,24.0,47.5,24.0
18,36125,24.0,47.5,24.0
19,38132,24.0,47.5,23.3
20,40139,23.3,47.5,22.9
21,42146,22.9,47.5,22.6
22,44153,22.6,47.5,22.3
23,46160,22.3,47.5,22.2
24,48167,22.2,47.5,22.1
25,50174,22.1,47.5,22.1
26,52181,22.1,47.5,22.5
27,54188,22.5,47.5,23.2
28,56194,23.2,47.5,24.1
29,58202,24.1,47.5,24.3
30,60209,24.3,47.5,24.3
31,62216,24.3,47.5,24.4
32,64223,24.4,47.5,24.4
33,66230,24.4,47.5,24.4
34,68237,24.4,47.5,24.4
35,70244,24.4,47.5,24.4
36,72251,24.4,47.5,24.5
37,74258,24.5,47.5,24.5
38,76265,24.5,47.5,24.6
39,78272,24.6,47.5,24.6
40,80279,24.6,47.5,24.7
41,82286,24.7,47.5,24.7
42,84293,24.7,47.5,24.7
43,86300,24.7,47.5,24.8
44,88307,24.8,47.5,24.8
45,90314,24.8,51.0,24.8
46,92320,24.8,56.0,24.8
47,94328,24.8,57.5,25.0
48,96335,25.0,57.5,25.2
49,98342,25.2,57.5,25.2
50,100349,25.2,57.5,26.0
51,102355,26.0,57.5,26.3
52,104362,26.3,57.5,26.5
53,106369,26.5,57.5,26.6
54,108376,26.6,57.5,26.6
55,110383,26.6,57.5,26.6
56,112390,26.6,57.5,26.7
57,114398,26.7,57.5,26.8
58,116404,26.8,57.5,26.8
59,118411,26.8,57.5,27.0
60,120418,27.0,57.5,27.0
61,122425,27.0,57.5,27.1
62,124433,27.1,57.5,27.2
63,126439,27.2,57.5,27.2
64,128446,27.2,57.5,27.3
65,130453,27.3,57.5,27.3
66,132460,27.3,57.5,27.3
67,134467,27.3,57.5,27.3
68,136474,27.3,57.5,27.3
69,138481,27.3,57.5,27.3
70,140488,27.3,57.5,27.3
71,142495,27.3,57.5,27.5
72,144503,27.5,57.5,27.7
73,146510,27.7,57.5,27.7
74,148517,27.7,57.5,27.7
75,150524,27.7,57.5,27.7
76,152531,27.7,57.5,27.8
77,154537,27.8,57.5,28.0
78,156544,28.0,57.5,28.0
79,158551,28.0,57.5,28.0
80,160558,28.0,57.5,28.0
81,162565,28.0,57.5,28.0
82,164572,28.0,57.5,28.0
83,166579,28.0,57.5,28.2
84,168587,28.2,57.5,28.5
85,170594,28.5,57.5,28.5
86,172601,28.5,57.5,28.7
87,174608,28.7,57.5,29.0
88,176614,29.0,57.5,29.0
89,178621,29.0,57.5,29.0
90,180628,29.0,57.5,29.0
91,182635,29.0,57.5,29.0
92,184642,29.0,57.5,29.1
93,186650,29.1,57.5,29.2
94,188656,29.2,57.5,29.3
95,190664,29.3,57.5,29.3
96,192671,29.3,57.5,29.4
97,194677,29.4,57.5,29.5
98,196685,29.5,57.5,29.6
99,198691,29.6,57.5,29.7
100,200699,29.7,57.5,29.9
101,202706,29.9,57.5,30.1
102,204713,30.1,57.5,30.3
103,206720,30.3,57.5,30.5
104,208727,30.5,57.5,30.6
105,210734,30.6,57.5,30.9
106,212741,30.9,57.5,31.0
107,214748,31.0,57.5,31.7
108,216755,31.7,57.5,32.5
109,218762,32.5,57.5,33.1
110,220769,33.1,57.5,33.9
111,222776,33.9,57.5,34.6
112,224783,34.6,57.5,34.9
113,226790,34.9,57.5,35.0
114,228797,35.0,57.5,35.0
115,230804,35.0,57.5,35.0
116,232811,35.0,57.5,35.0
117,234818,35.0,57.5,35.0
118,236825,35.0,57.5,35.0
119,238832,35.0,57.5,35.0
120,240839,35.0,57.5,35.0
121,242846,35.0,57.5,35.0
122,244853,35.0,57.5,35.0
123,246860,35.0,57.5,35.0
124,248867,35.0,57.5,35.0
125,250874,35.0,57.5,35.0
126,252881,35.0,57.5,35.0
127,254888,35.0,57.5,35.0
128,256895,35.0,57.5,35.0
129,258902,35.0,57.5,35.0
130,260909,35.0,57.5,35.0
131,262916,35.0,57.5,35.0
132,264923,35.0,57.5,35.0
133,266930,35.0,57.5,35.0
134,268937,35.0,57.5,35.0
135,270944,35.0,57.5,35.0
136,272951,35.0,57.5,35.0
137,274958,35.0,57.5,35.5
138,276965,35.5,57.5,35.7
139,278972,35.7,57.5,35.7
140,280979,35.7,57.5,35.7
141,282986,35.7,57.5,35.7
142,284993,35.7,57.5,35.7
143,287000,35.7,57.5,35.7
144,289007,35.7,57.5,35.7
145,291014,35.7,57.5,35.7
146,293021,35.7,57.5,35.7
147,295028,35.7,57.5,35.7
148,297035,35.7,57.5,35.7
149,299042,35.7,57.5,35.7
150,301049,35.7,57.5,35.7
151,303056,35.7,57.5,35.7
152,305063,35.7,57.5,35.7
153,307070,35.7,57.5,35.7
154,309077,35.7,57.5,35.7
155,311084,35.7,57.5,35.7
156,313091,35.7,57.5,35.7
157,315098,35.7,57.5,36.0
158,317105,36.0,57.5,36.0
159,319112,36.0,57.5,36.1
160,321119,36.1,57.5,36.2
161,323126,36.2,57.5,36.3
162,325133,36.3,57.5,36.3
163,327140,36.3,57.5,36.3
164,329147,36.3,57.5,36.3
165,331154,36.3,57.5,36.3
166,333161,36.3,57.5,36.3
167,335168,36.3,57.5,36.3
168,337175,36.3,57.5,38.4
169,339181,38.4,57.5,37.8
170,341189,37.8,57.5,37.2
171,343196,37.2,57.5,36.6
172,345203,36.6,57.5,36.5
173,347210,36.5,57.5,36.3
174,349217,36.3,57.5,35.7
175,351224,35.7,57.5,35.5
176,353231,35.5,57.5,35.2
177,355237,35.2,57.5,35.2
178,357244,35.2,57.5,34.9
179,359252,34.9,57.5,34.7
180,361259,34.7,57.5,34.7
181,363266,34.7,57.5,34.7
182,365273,34.7,57.5,34.6
183,367280,34.6,57.5,34.6
184,369287,34.6,57.5,34.7
185,371294,34.7,57.5,34.7
186,373301,34.7,57.5,34.7
187,375308,34.7,57.5,34.7
188,377315,34.7,57.5,34.4
189,379322,34.4,57.5,34.3
190,381329,34.3,57.5,33.9
191,383336,33.9,57.5,33.0
192,385342,33.0,57.5,32.1
193,387349,32.1,57.5,31.3
194,389357,31.3,57.5,30.6
195,391364,30.6,57.5,29.9
196,393371,29.9,57.5,29.3
197,395378,29.3,57.5,28.5
198,397385,28.5,57.5,27.7
199,399392,27.7,57.5,26.9
200,401399,26.9,57.5,26.2
201,403405,26.2,57.5,25.5
202,405413,25.5,57.5,24.9
203,407420,24.9,57.5,24.4
204,409427,24.4,57.5,24.2
205,411434,24.2,57.5,24.2
206,413441,24.2,57.5,24.2
207,415448,24.2,57.5,24.0
208,417454,24.0,57.5,24.0
209,419461,24.0,57.5,24.0
210,421468,24.0,57.5,24.0
211,423475,24.0,57.5,23.3
212,425483,23.3,57.5,22.7
213,427489,22.7,57.5,22.7
214,429496,22.7,57.5,22.7
215,431503,22.7,57.5,22.7
216,433510,22.7,57.5,22.7
217,435517,22.7,57.5,22.7
218,437524,22.7,57.5,22.7
219,439531,22.7,57.5,22.7
220,441538,22.7,57.5,22.7
221,443545,22.7,57.5,22.7
222,445552,22.7,57.5,22.7
223,447559,22.7,57.5,22.7
224,449566,22.7,57.5,22.7
225,451573,22.7,57.5,22.7
226,453580,22.7,57.5,22.7
227,455587,22.7,57.5,22.5
228,457594,22.5,57.5,22.5
229,459601,22.5,57.5,22.4
230,461608,22.4,57.5,22.3
231,463616,22.3,57.5,22.3
232,465623,22.3,57.5,22.5
233,467629,22.5,57.5,22.5
234,469636,22.5,57.5,22.5
235,471643,22.5,57.5,22.6
236,473650,22.6,57.5,22.7
237,475657,22.7,57.5,22.9
238,477665,22.9,57.5,23.0
239,479672,23.0,57.5,23.1
240,481679,23.1,57.5,23.2
241,483685,23.2,57.5,23.4
242,485693,23.4,57.5,23.4
243,487700,23.4,57.5,23.5
244,489707,23.5,57.5,23.5
245,491714,23.5,57.5,23.6
246,493721,23.6,57.5,23.6
247,495728,23.6,57.5,23.8
248,497735,23.8,57.5,23.8
249,499742,23.8,57.5,23.8
250,501749,23.8,57.5,23.9
251,503756,23.9,57.5,24.0
252,505762,24.0,57.5,24.1
253,507770,24.1,57.5,24.2
254,509777,24.2,57.5,24.3
255,511784,24.3,57.5,24.5
256,513791,24.5,57.5,24.7
257,515798,24.7,57.5,24.8
258,517805,24.8,57.5,25.0
259,519812,25.0,57.5,25.0
260,521819,25.0,57.5,25.0
261,523826,25.0,57.5,25.8
262,525832,25.8,57.5,25.8
263,527839,25.8,57.5,25.9
264,529846,25.9,57.5,25.9
265,531853,25.9,57.5,25.9
266,533860,25.9,57.5,25.9
267,535867,25.9,57.5,25.9
268,537874,25.9,57.5,25.9
269,539881,25.9,71.5,25.9
270,541888,25.9,71.5,26.1
271,543895,26.1,71.5,26.1
272,545902,26.1,71.5,26.3
273,547910,26.3,71.5,26.3
274,549917,26.3,71.5,26.4
275,551923,26.4,71.5,26.5
276,553931,26.5,71.5,26.5
277,555938,26.5,71.5,26.6
278,557944,26.6,71.5,26.7
279,559952,26.7,71.5,26.9
280,561959,26.9,71.5,26.9
281,563966,26.9,71.5,26.9
282,565973,26.9,71.5,26.9
283,567980,26.9,71.5,26.9
284,569987,26.9,71.5,26.9
285,571994,26.9,71.5,26.9
286,574001,26.9,71.5,26.9
287,576008,26.9,71.5,26.9
288,578015,26.9,71.5,26.9
289,580022,26.9,71.5,27.0
290,582029,27.0,71.5,27.1
291,584036,27.1,71.5,27.1
292,586043,27.1,71.5,27.1
293,588050,27.1,71.5,27.1
294,590057,27.1,71.5,27.2
295,592063,27.2,71.5,27.4
296,594070,27.4,71.5,27.5
297,596077,27.5,71.5,27.6
298,598084,27.6,71.5,27.7
299,600092,27.7,71.5,27.8
