model,fold,acc,bal_acc,precision_macro,recall_macro,f1_macro,train_time_s,infer_time_s,n_test
LogisticRegression,1,0.9906629318394025,0.9906629318394025,0.9909173478655768,0.9906629318394025,0.990661099949774,0.04439749999437481,0.00139259995194152,1071
LogisticRegression,2,0.9850606909430439,0.9850606909430439,0.9855643734342426,0.9850606909430439,0.9850177661922311,0.03868220001459122,0.0013758999994024634,1071
LogisticRegression,3,0.9719887955182073,0.9719887955182073,0.971961857930666,0.9719887955182073,0.9719487673161256,0.040094399999361485,0.0014021999668329954,1071
LogisticRegression,4,0.9953314659197012,0.9953314659197012,0.9953959484346225,0.9953314659197012,0.9953312369671873,0.04268779995618388,0.0011897000367753208,1071
LogisticRegression,5,0.9570494864612512,0.9570494864612512,0.9602329602996836,0.9570494864612512,0.9569282043936105,0.032493800041265786,0.001302699965890497,1071
KNN,1,0.9831932773109243,0.9831932773109244,0.9834418278379361,0.9831932773109244,0.9831899799095932,0.0044095999910496175,2.185223800013773,1071
KNN,2,0.992530345471522,0.992530345471522,0.992571372926674,0.992530345471522,0.9925143140507706,0.005376199958845973,0.0077461000182665884,1071
KNN,3,0.976657329598506,0.9766573295985062,0.9774629831093677,0.9766573295985062,0.9767904755441963,0.0066009999718517065,0.00782729999627918,1071
KNN,4,1.0,1.0,1.0,1.0,1.0,0.005817700002808124,0.007416700012981892,1071
KNN,5,0.9514472455648926,0.9514472455648927,0.9576202118989405,0.9514472455648927,0.9511883445213097,0.005831699992995709,0.008129899972118437,1071
RandomForest,1,0.9971988795518207,0.9971988795518207,0.997211891089982,0.9971988795518207,0.9971962310764376,1.915268799988553,0.013991099956911057,1071
RandomForest,2,0.9971988795518207,0.9971988795518207,0.9972222222222222,0.9971988795518207,0.99719883009963,1.9513293000054546,0.013339500001166016,1071
RandomForest,3,0.9850606909430439,0.9850606909430439,0.9852848656046004,0.9850606909430439,0.9850905559621697,1.6879060000064783,0.013470600009895861,1071
RandomForest,4,1.0,1.0,1.0,1.0,1.0,1.9231208999990486,0.01334489998407662,1071
RandomForest,5,0.9738562091503268,0.9738562091503269,0.9746391347099311,0.9738562091503269,0.9738395829407701,1.6290731999906711,0.012972500000614673,1071
SVM,1,0.9831932773109243,0.9831932773109244,0.9839173861520231,0.9831932773109244,0.983161171894131,0.044346700015012175,0.026500599982682616,1071
SVM,2,0.9831932773109243,0.9831932773109244,0.9838445090000274,0.9831932773109244,0.9831422755753064,0.04540190001716837,0.027327200048603117,1071
SVM,3,0.9738562091503268,0.9738562091503268,0.9738072854475623,0.9738562091503268,0.9737922423997717,0.03963399998610839,0.02537550003034994,1071
SVM,4,0.992530345471522,0.992530345471522,0.9926940639269407,0.992530345471522,0.9925294076102736,0.044049100019037724,0.028525799978524446,1071
SVM,5,0.9673202614379085,0.9673202614379085,0.9684298728142458,0.9673202614379085,0.9672435439598566,0.039980300003662705,0.02547599998069927,1071
MLP,1,0.9971988795518207,0.9971988795518207,0.9972222222222222,0.9971988795518207,0.99719883009963,1.3688387000001967,0.0022591999731957912,1071
MLP,2,0.992530345471522,0.992530345471522,0.9926181706568448,0.992530345471522,0.9925101173005534,1.1784444999648258,0.0018780999816954136,1071
MLP,3,0.9710550887021475,0.9710550887021476,0.9719132817537073,0.9710550887021476,0.9711203900221347,0.9203754999907687,0.001894799992442131,1071
MLP,4,0.9990662931839402,0.9990662931839402,0.9990689013035382,0.9990662931839402,0.9990662913524063,1.064218300045468,0.0022072999854572117,1071
MLP,5,0.9738562091503268,0.9738562091503269,0.9746796836835513,0.9738562091503269,0.9738337038726236,0.9161671999609098,0.001625700038857758,1071
